iter	Passed	Remaining
0	0	98
1	1	90
2	2	88
3	3	86
4	4	86
5	5	86
6	6	85
7	7	84
8	8	83
9	9	83
10	10	84
11	11	87
12	12	85
13	13	84
14	14	84
15	15	83
16	16	82
17	17	81
18	18	80
19	19	79
20	20	77
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	37	59
39	38	58
40	39	57
41	40	56
42	41	55
43	42	53
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	70	24
74	71	23
75	72	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	93	2
97	94	1
98	95	0
99	96	0
