iter	Passed	Remaining
0	73	73542
1	74	37270
2	75	25119
3	76	19037
4	77	15488
5	78	13042
6	79	11340
7	81	10100
8	82	9062
9	83	8237
10	84	7558
11	84	6997
12	85	6524
13	86	6122
14	87	5770
15	88	5463
16	90	5217
17	91	4974
18	92	4785
19	93	4586
20	94	4409
21	95	4249
22	96	4100
23	98	4014
24	100	3909
25	101	3792
26	102	3682
27	103	3583
28	104	3488
29	105	3401
30	106	3320
31	107	3244
32	108	3173
33	109	3104
34	110	3038
35	111	2978
36	112	2919
37	113	2865
38	114	2812
39	115	2762
40	116	2716
41	117	2671
42	118	2630
43	119	2591
44	120	2552
45	121	2515
46	122	2480
47	123	2446
48	124	2414
49	125	2382
50	126	2353
51	127	2327
52	130	2327
53	131	2302
54	132	2278
55	133	2253
56	134	2228
57	135	2204
58	136	2181
59	137	2156
60	138	2133
61	139	2111
62	141	2098
63	142	2078
64	143	2061
65	144	2043
66	145	2024
67	146	2006
68	147	1988
69	148	1970
70	149	1954
71	150	1937
72	151	1922
73	152	1906
74	153	1891
75	154	1876
76	155	1861
77	156	1848
78	157	1834
79	158	1820
80	159	1807
81	160	1795
82	161	1779
83	162	1768
84	163	1757
85	164	1746
86	165	1735
87	166	1725
88	167	1716
89	168	1705
90	169	1695
91	170	1684
92	171	1674
93	172	1663
94	173	1653
95	174	1644
96	175	1638
97	177	1629
98	178	1620
99	179	1612
100	180	1604
101	181	1595
102	182	1587
103	183	1579
104	184	1571
105	185	1563
106	186	1554
107	187	1546
108	188	1538
109	189	1530
110	190	1523
111	191	1516
112	192	1508
113	193	1501
114	194	1494
115	195	1488
116	196	1480
117	197	1473
118	198	1467
119	199	1461
120	200	1454
121	201	1447
122	202	1441
123	203	1435
124	204	1429
125	205	1422
126	205	1415
127	206	1409
128	207	1403
129	208	1398
130	209	1392
131	210	1387
132	211	1381
133	212	1375
134	213	1369
135	214	1364
136	215	1359
137	216	1354
138	217	1348
139	218	1344
140	219	1339
141	220	1332
142	222	1330
143	223	1326
144	224	1322
145	225	1317
146	226	1313
147	227	1308
148	228	1304
149	229	1299
150	230	1295
151	231	1291
152	232	1286
153	233	1281
154	234	1277
155	235	1273
156	236	1269
157	237	1264
158	238	1261
159	239	1256
160	240	1251
161	241	1247
162	242	1243
163	243	1239
164	244	1235
165	245	1231
166	246	1228
167	247	1224
168	248	1220
169	249	1217
170	250	1214
171	251	1210
172	252	1206
